# instance_type, electricity_consumption_kwh, embodied_emissions_gco2eq, embodied_adp_gSbeq
c6gd.metal, 0.05555560000000001, 16.0, 0.0023
c6gd.xlarge, 0.0033333360000000005, 1.0, 1.4000000000000001E-4
c6g.large, 0.0017222236000000001, 0.39, 6.8E-5
c6g.large.elasticsearch, 0.0017222236000000001, 0.39, 6.8E-5
c6g.medium, 8.611118000000001E-4, 0.19, 3.4E-5
c6g.metal, 0.05555560000000001, 12.0, 0.0022
c6gn.12xlarge, 0.0416667, 9.299999999999999, 0.0015999999999999999
c6gn.16xlarge, 0.05555560000000001, 12.0, 0.0022
c6gn.2xlarge, 0.006944450000000001, 1.6, 2.7E-4
c6gn.4xlarge, 0.013611122000000002, 3.1, 5.4E-4
c6gn.8xlarge, 0.027777800000000005, 6.2, 0.00108
c6gn.large, 0.0017222236000000001, 0.39, 6.8E-5
c6gn.medium, 8.611118000000001E-4, 0.19, 3.4E-5
c6gn.xlarge, 0.0033333360000000005, 0.78, 1.35E-4
c6g.xlarge, 0.0033333360000000005, 0.78, 1.35E-4
c6g.xlarge.elasticsearch, 0.0033333360000000005, 0.78, 1.35E-4
c6i.12xlarge, 0.07222228000000001, 6.4, 0.001
c6i.16xlarge, 0.0972223, 8.6, 0.00134
c6i.24xlarge, 0.14444456000000003, 13.0, 0.002
c6i.2xlarge, 0.011944454, 1.1, 1.6999999999999999E-4
c6i.32xlarge, 0.19166682000000002, 17.0, 0.0027
c6i.4xlarge, 0.02500002, 2.1, 3.3E-4
c6i.8xlarge, 0.04722226000000001, 4.3, 6.7E-4
c6id.12xlarge, 0.07222228000000001, 9.0, 0.00108
c6id.16xlarge, 0.0972223, 12.0, 0.0014
c6id.24xlarge, 0.14444456000000003, 18.0, 0.0022
c6id.2xlarge, 0.011944454, 1.5, 1.7999999999999998E-4
c6id.32xlarge, 0.19166682000000002, 23.0, 0.0029000000000000002
c6id.4xlarge, 0.02500002, 2.9, 3.5999999999999997E-4
c6id.8xlarge, 0.04722226000000001, 5.8999999999999995, 7.199999999999999E-4
c6id.large, 0.003055558, 0.37, 4.4999999999999996E-5
c6id.metal, 0.19166682000000002, 23.0, 0.0029000000000000002
c6id.xlarge, 0.006111116, 0.7, 8.999999999999999E-5
c6i.large, 0.003055558, 0.27, 4.2E-5
c6i.metal, 0.19166682000000002, 17.0, 0.0027
c6in.12xlarge, 0.07222228000000001, 6.4, 0.001
c6in.16xlarge, 0.0972223, 8.6, 0.00134
c6in.24xlarge, 0.14444456000000003, 13.0, 0.002
c6in.2xlarge, 0.011944454, 1.1, 1.6999999999999999E-4
c6in.32xlarge, 0.19166682000000002, 17.0, 0.0027
c6in.4xlarge, 0.02500002, 2.1, 3.3E-4
c6in.8xlarge, 0.04722226000000001, 4.3, 6.7E-4
c6in.large, 0.003055558, 0.27, 4.2E-5
c6in.metal, 0.19166682000000002, 17.0, 0.0027
c6in.xlarge, 0.006111116, 0.54, 8.4E-5
c6i.xlarge, 0.006111116, 0.54, 8.4E-5
c7a.12xlarge, 0.05000004, 5.6, 7.3E-4
c7a.16xlarge, 0.06388894, 7.5, 9.8E-4
c7a.24xlarge, 0.0972223, 11.0, 0.00147
c7a.2xlarge, 0.008055562, 0.93, 1.2200000000000001E-4
c7a.32xlarge, 0.13055566000000002, 15.0, 0.002
c7a.48xlarge, 0.1944446, 22.0, 0.0029000000000000002
c7a.4xlarge, 0.016388902, 1.9, 2.3999999999999998E-4
c7a.8xlarge, 0.03333336, 3.7, 4.9E-4
c7a.large, 0.0020277794, 0.23, 3.1E-5
c7a.medium, 0.0010277786000000002, 0.12000000000000001, 1.4999999999999999E-5
c7a.metal-48xl, 0.1944446, 22.0, 0.0029000000000000002
c7a.xlarge, 0.00416667, 0.47, 6.1000000000000005E-5
c7g.12xlarge, 0.05555560000000001, 9.0, 0.0015
c7g.16xlarge, 0.07500006000000001, 12.0, 0.002
c7g.2xlarge, 0.009166674000000001, 1.5, 2.5E-4
c7g.4xlarge, 0.018611126000000002, 3.0, 5.1E-4
c7g.8xlarge, 0.03611114000000001, 6.0, 0.00102
c7gd.12xlarge, 0.05555560000000001, 11.0, 0.0015999999999999999
c7gd.16xlarge, 0.07500006000000001, 15.0, 0.0021
c7gd.2xlarge, 0.009166674000000001, 1.9, 2.7E-4
c7gd.4xlarge, 0.018611126000000002, 3.8, 5.4E-4
c7gd.8xlarge, 0.03611114000000001, 7.6, 0.00107
c7gd.large, 0.002222224, 0.47, 6.7E-5
c7gd.medium, 0.0011666676000000001, 0.24000000000000002, 3.2999999999999996E-5
c7gd.xlarge, 0.004722226, 0.9, 1.3E-4
c7g.large, 0.002222224, 0.38, 6.400000000000001E-5
c7g.medium, 0.0011666676000000001, 0.19, 3.2000000000000005E-5
c7g.metal, 0.07500006000000001, 12.0, 0.002
c7gn.12xlarge, 0.061111160000000005, 9.0, 0.0015
c7gn.16xlarge, 0.0833334, 12.0, 0.002
c7gn.2xlarge, 0.010277786, 1.5, 2.5E-4
c7gn.4xlarge, 0.020555572, 3.0, 5.1E-4
c7gn.8xlarge, 0.0416667, 6.0, 0.00102
c7gn.large, 0.002500002, 0.38, 6.400000000000001E-5
c7gn.medium, 0.0012777788, 0.19, 3.2000000000000005E-5
c7gn.xlarge, 0.005277782, 0.75, 1.2700000000000002E-4
c7g.xlarge, 0.004722226, 0.75, 1.2700000000000002E-4
c7i.12xlarge, 0.06388894, 4.6, 5.0E-4
c7i.16xlarge, 0.0833334, 6.1000000000000005, 6.7E-4
c7i.24xlarge, 0.12777788, 9.0, 0.001
c7i.2xlarge, 0.010555564, 0.76, 8.3E-5
c7i.48xlarge, 0.2500002, 18.0, 0.002
c7i.4xlarge, 0.021111128, 1.5, 1.67E-4
c7i.8xlarge, 0.0416667, 3.0, 3.3E-4
c7i.large, 0.002500002, 0.19, 2.1E-5
c7i.xlarge, 0.005277782, 0.38, 4.2E-5
c8g.12xlarge, 0.05277782, 7.5, 0.0011799999999999998
c8g.16xlarge, 0.0694445, 10.0, 0.0015999999999999999
c8g.24xlarge, 0.10277786000000001, 15.0, 0.0024
c8g.2xlarge, 0.008611118000000001, 1.2, 1.9999999999999998E-4
c8g.4xlarge, 0.017222236000000002, 2.5, 3.9000000000000005E-4
c8g.8xlarge, 0.03333336, 5.0, 7.899999999999999E-4
c8g.large, 0.0021388906000000003, 0.31, 4.9000000000000005E-5
c8g.medium, 0.0010833342, 0.16, 2.4999999999999998E-5
c8g.metal-24xl, 0.10277786000000001, 15.0, 0.0024
c8g.xlarge, 0.00416667, 0.62, 9.800000000000001E-5
cache.m3.medium, 0.002500002, 0.42000000000000004, 8.7E-5
cache.m4.10xlarge, 0.07222228000000001, 12.0, 0.0021
cache.m4.2xlarge, 0.011944454, 2.0, 3.0E-4
cache.m4.4xlarge, 0.02500002, 4.0, 6.0E-4
cache.m4.large, 0.00277778, 0.43, 7.2E-5
cache.m4.xlarge, 0.005833338000000001, 0.94, 1.48E-4
cache.m5.12xlarge, 0.07500006000000001, 10.0, 0.0014
cache.m5.24xlarge, 0.15000012000000001, 20.0, 0.0028
cache.m5.2xlarge, 0.01250001, 1.6, 2.3E-4
cache.m5.4xlarge, 0.02500002, 3.2, 4.6E-4
cache.m5.large, 0.003055558, 0.39, 5.7E-5
cache.m5.xlarge, 0.006111116, 0.8099999999999999, 1.16E-4
cache.m6g.12xlarge, 0.05000004, 13.0, 0.0017000000000000001
cache.m6g.16xlarge, 0.0694445, 17.0, 0.0023
cache.m6g.2xlarge, 0.008611118000000001, 2.1, 2.9E-4
cache.m6g.4xlarge, 0.016944458000000003, 4.2, 5.700000000000001E-4
cache.m6g.8xlarge, 0.03333336, 8.4, 0.00115
cache.m6g.large, 0.0021388906000000003, 0.5199999999999999, 7.2E-5
cache.m6g.xlarge, 0.00416667, 1.0, 1.4000000000000001E-4
cache.r3.2xlarge, 0.02222224, 5.7, 0.0011
cache.r4.16xlarge, 0.11388898, 26.0, 0.004
cache.r4.2xlarge, 0.014166678, 3.2, 4.9E-4
cache.r4.4xlarge, 0.027777800000000005, 6.4, 9.9E-4
cache.r4.8xlarge, 0.05555560000000001, 13.0, 0.00198
cache.r4.large, 0.0036111140000000003, 0.7699999999999999, 1.1999999999999999E-4
cache.r4.xlarge, 0.006944450000000001, 1.6, 2.5E-4
cache.r5.12xlarge, 0.10000008, 16.0, 0.0017000000000000001
cache.r5.24xlarge, 0.20000016, 31.0, 0.0034000000000000002
cache.r5.2xlarge, 0.01666668, 2.6, 2.9E-4
cache.r5.4xlarge, 0.03333336, 5.2, 5.700000000000001E-4
cache.r5.large, 0.00416667, 0.64, 7.1E-5
cache.r5.xlarge, 0.00833334, 1.3, 1.42E-4
cache.r6g.12xlarge, 0.07222228000000001, 20.0, 0.0021
cache.r6g.16xlarge, 0.09444452000000002, 26.0, 0.0028
cache.r6g.2xlarge, 0.011944454, 3.3, 3.5E-4
cache.r6g.4xlarge, 0.023888908, 6.5, 7.0E-4
cache.r6g.8xlarge, 0.04722226000000001, 13.0, 0.0014
cache.r6g.large, 0.0029722246, 0.82, 8.7E-5
cache.r6g.xlarge, 0.005833338000000001, 1.6, 1.6999999999999999E-4
cache.t2.medium, 0.003055558, 0.43, 9.7E-5
cache.t2.micro, 0.0015000012000000002, 0.2, 4.7E-5
cache.t2.small, 0.0015833346000000002, 0.23, 4.9000000000000005E-5
cache.t3.medium, 0.003055558, 0.27, 5.1E-5
cache.t3.micro, 0.00277778, 0.2, 4.7E-5
cache.t3.small, 0.00277778, 0.2, 4.7E-5
cc2.8xlarge, 0.0694445, 16.0, 0.0033
cr1.8xlarge, 0.08888896, 22.0, 0.0044
d2.2xlarge, 0.017500014, 8.4, 9.4E-4
d2.4xlarge, 0.03611114000000001, 16.8, 0.00188
d2.8xlarge, 0.07500006000000001, 34.0, 0.0039
d2.xlarge, 0.008611118000000001, 4.2, 4.7E-4
d3.2xlarge, 0.016388902, 6.6, 3.3999999999999997E-4
d3.4xlarge, 0.03333336, 13.100000000000001, 6.7E-4
d3.8xlarge, 0.06666672, 26.0, 0.00134
d3en.12xlarge, 0.07777784000000001, 25.0, 0.0015799999999999998
d3en.2xlarge, 0.013055566000000001, 4.2, 2.6E-4
d3en.4xlarge, 0.02500002, 8.4, 5.3E-4
d3en.6xlarge, 0.03888892000000001, 12.6, 7.899999999999999E-4
d3en.8xlarge, 0.05277782, 16.8, 0.00105
d3en.xlarge, 0.006388894000000001, 2.1, 1.3199999999999998E-4
d3.xlarge, 0.00833334, 3.3, 1.6999999999999999E-4
db.m1.large, 0.00277778, 0.53, 7.8E-5
db.m1.medium, 0.0014444456000000001, 0.25999999999999995, 3.9E-5
db.m1.small, 0.0012222232000000002, 0.18000000000000002, 3.2999999999999996E-5
db.m1.xlarge, 0.005833338000000001, 1.1, 1.6E-4
db.m2.2xlarge, 0.011388898000000001, 2.5, 4.4E-4
db.m2.4xlarge, 0.023055574000000002, 5.0, 8.8E-4
db.m2.xlarge, 0.005833338000000001, 1.3, 2.2E-4
db.m3.2xlarge, 0.019166682000000004, 3.3, 6.9E-4
db.m3.large, 0.004722226, 0.82, 1.73E-4
db.m3.medium, 0.002500002, 0.41, 8.7E-5
db.m3.xlarge, 0.009444452, 1.6, 3.5E-4
db.m4.10xlarge, 0.07222228000000001, 12.0, 0.0021
db.m4.16xlarge, 0.0972223, 16.0, 0.0024
db.m4.2xlarge, 0.012222232, 2.0, 3.0E-4
db.m4.4xlarge, 0.02500002, 4.1000000000000005, 6.1E-4
db.m4.large, 0.003055558, 0.51, 7.6E-5
db.m4.xlarge, 0.006111116, 1.0, 1.5E-4
db.m5.12xlarge, 0.07777784000000001, 11.0, 0.00147
db.m5.16xlarge, 0.10555564, 15.0, 0.002
db.m5.24xlarge, 0.15555568000000003, 22.0, 0.0029000000000000002
db.m5.2xlarge, 0.013055566000000001, 1.8, 2.3999999999999998E-4
db.m5.4xlarge, 0.02500002, 3.7, 4.9E-4
db.m5.8xlarge, 0.05277782, 7.4, 9.8E-4
db.m5.large, 0.0033333360000000005, 0.46, 6.1000000000000005E-5
db.m5.xlarge, 0.006388894000000001, 0.9, 1.2200000000000001E-4
db.m6g.12xlarge, 0.05000004, 13.0, 0.0017000000000000001
db.m6g.16xlarge, 0.0694445, 17.0, 0.0023
db.m6g.2xlarge, 0.008611118000000001, 2.1, 2.9E-4
