# instance_type, electricity_consumption_kwh, embodied_emissions_gco2eq, embodied_adp_gsbeq
standard_e64ds_v5, 0.12777788, 27.0, 0.0027
standard_e8ds_v5, 0.016111124, 3.3, 3.3E-4
standard_e96ds_v5, 0.18333348000000002, 36.0, 0.0037
e2ds_v5, 0.0038888920000000006, 0.8, 8.4E-5
e4ds_v5, 0.008055562, 1.7, 1.67E-4
e8ds_v5, 0.016111124, 3.3, 3.3E-4
e16ds_v5, 0.03333336, 6.6, 6.7E-4
e20ds_v5, 0.03888892000000001, 8.0, 8.4E-4
e32ds_v5, 0.06388894, 13.0, 0.00134
e48ds_v5, 0.0972223, 20.0, 0.002
e64ds_v5, 0.12777788, 27.0, 0.0027
e2s_v3, 0.0038888920000000006, 0.79, 8.2E-5
e4s_v3, 0.008055562, 1.6, 1.65E-4
e8s_v3, 0.016111124, 3.2, 3.3E-4
e16s_v3, 0.03333336, 6.4, 6.6E-4
e20s_v3, 0.03888892000000001, 7.9, 8.2E-4
e32s_v3, 0.06388894, 13.0, 0.00132
e48s_v3, 0.0972223, 19.0, 0.002
e64s_v3, 0.11944454000000002, 22.0, 0.0024
standard_e16s_v3, 0.030555580000000002, 7.3, 9.2E-4
standard_e20s_v3, 0.03888892000000001, 9.1, 0.00115
standard_e2s_v3, 0.0038888920000000006, 0.91, 1.15E-4
standard_e32s_v3, 0.061111160000000005, 15.0, 0.00184
standard_e48s_v3, 0.08888896, 22.0, 0.0028
standard_e4s_v3, 0.007500006000000001, 1.8, 2.3E-4
standard_e64s_v3, 0.11111120000000002, 25.0, 0.0033
standard_e8s_v3, 0.015000012000000002, 3.6, 4.6E-4
e2s_v4, 0.0038888920000000006, 0.7699999999999999, 8.2E-5
e4s_v4, 0.008055562, 1.5, 1.6299999999999998E-4
e8s_v4, 0.016111124, 3.1, 3.3E-4
e16s_v4, 0.03333336, 6.1000000000000005, 6.5E-4
e20s_v4, 0.03888892000000001, 7.7, 8.2E-4
e32s_v4, 0.06388894, 12.0, 0.0013
e48s_v4, 0.0972223, 18.0, 0.002
e64s_v4, 0.12777788, 24.0, 0.0026
standard_e16s_v4, 0.030555580000000002, 7.1000000000000005, 9.1E-4
standard_e20s_v4, 0.03888892000000001, 8.8, 0.0011400000000000002
standard_e2s_v4, 0.0038888920000000006, 0.88, 1.14E-4
standard_e32s_v4, 0.061111160000000005, 14.0, 0.00183
standard_e48s_v4, 0.08888896, 21.0, 0.0027
standard_e4s_v4, 0.007500006000000001, 1.8, 2.28E-4
standard_e64s_v4, 0.11944454000000002, 28.0, 0.0036
standard_e80is_v4, 0.13611122, 29.0, 0.0039
standard_e8s_v4, 0.015000012000000002, 3.5, 4.6E-4
standard_e104is_v5, 0.19166682000000002, 34.0, 0.0038
standard_e16s_v5, 0.03333336, 6.1000000000000005, 6.5E-4
standard_e20s_v5, 0.03888892000000001, 7.7, 8.2E-4
standard_e2s_v5, 0.0038888920000000006, 0.7699999999999999, 8.2E-5
standard_e32s_v5, 0.06388894, 12.0, 0.0013
standard_e48s_v5, 0.0972223, 18.0, 0.002
standard_e4s_v5, 0.008055562, 1.5, 1.6299999999999998E-4
standard_e64s_v5, 0.12777788, 25.0, 0.0026
standard_e8s_v5, 0.016111124, 3.1, 3.3E-4
standard_e96s_v5, 0.18333348000000002, 33.0, 0.0036
e2s_v5, 0.0038888920000000006, 0.7699999999999999, 8.2E-5
e4s_v5, 0.008055562, 1.5, 1.6299999999999998E-4
e8s_v5, 0.016111124, 3.1, 3.3E-4
e16s_v5, 0.03333336, 6.1000000000000005, 6.5E-4
e20s_v5, 0.03888892000000001, 7.7, 8.2E-4
e32s_v5, 0.06388894, 12.0, 0.0013
e48s_v5, 0.0972223, 18.0, 0.002
e64s_v5, 0.12777788, 25.0, 0.0026
f2s_v2, 0.00277778, 0.3, 4.6E-5
f4s_v2, 0.00555556, 0.61, 9.3E-5
f8s_v2, 0.01111112, 1.2, 1.9E-4
f16s_v2, 0.02222224, 2.4, 3.7E-4
f32s_v2, 0.04444448, 4.8, 7.4E-4
f48s_v2, 0.06666672, 7.3, 0.0011099999999999999
f64s_v2, 0.08888896, 10.0, 0.00148
f72s_v2, 0.10000008, 11.0, 0.0017000000000000001
standard_f16s_v2, 0.020000016, 2.8, 4.4E-4
standard_f2s_v2, 0.002500002, 0.34, 5.5E-5
standard_f32s_v2, 0.03888892000000001, 5.5, 8.8E-4
standard_f48s_v2, 0.061111160000000005, 8.3, 0.00131
standard_f4s_v2, 0.005000004, 0.69, 1.0899999999999999E-4
standard_f64s_v2, 0.08055562000000001, 11.0, 0.0018
standard_f72s_v2, 0.08888896, 12.0, 0.002
standard_f8s_v2, 0.010000008, 1.4, 2.2E-4
standard_fx12mds, 0.04722226000000001, 11.0, 9.2E-4
standard_fx24mds, 0.09444452000000002, 22.0, 0.0018
standard_fx36mds, 0.14444456000000003, 33.0, 0.0028
standard_fx48mds, 0.19166682000000002, 45.0, 0.0037
standard_fx4mds, 0.015833346, 3.7, 3.1E-4
fx4mds, 0.015833346, 3.7, 3.1E-4
fx12mds, 0.04722226000000001, 11.0, 9.2E-4
fx24mds, 0.09444452000000002, 22.0, 0.0018
fx36mds, 0.14444456000000003, 33.0, 0.0028
fx48mds, 0.19166682000000002, 45.0, 0.0037
standard_l16s_v2, 0.025833354000000003, 10.0, 9.4E-4
standard_l32s_v2, 0.05277782, 21.0, 0.0019
standard_l48s_v2, 0.07777784000000001, 31.0, 0.0028
standard_l64s_v2, 0.10277786000000001, 41.0, 0.0037
standard_l80s_v2, 0.13055566000000002, 51.0, 0.0047
standard_l8s_v2, 0.013055566000000001, 5.1000000000000005, 4.7E-4
l8s_v2, 0.013055566000000001, 5.1000000000000005, 4.7E-4
l16s_v2, 0.025833354000000003, 10.0, 9.4E-4
l32s_v2, 0.05277782, 21.0, 0.0019
l48s_v2, 0.07777784000000001, 31.0, 0.0028
l64s_v2, 0.10277786000000001, 41.0, 0.0037
l80s_v2, 0.13055566000000002, 51.0, 0.0047
l8as_v3, 0.011666676000000003, 4.7, 3.5999999999999997E-4
l16as_v3, 0.023055574000000002, 9.0, 7.1E-4
l32as_v3, 0.04722226000000001, 19.0, 0.0014
l48as_v3, 0.0694445, 28.0, 0.0021
l64as_v3, 0.09166674000000001, 37.0, 0.0028
l80as_v3, 0.11666676000000001, 47.0, 0.0036
l8s_v3, 0.016111124, 4.7, 3.8E-4
l16s_v3, 0.03333336, 9.0, 7.6E-4
l32s_v3, 0.06388894, 19.0, 0.0015
l48s_v3, 0.0972223, 28.0, 0.0023
l64s_v3, 0.12777788, 38.0, 0.003
l80s_v3, 0.16111124000000002, 47.0, 0.0038
m32dms_v2, 0.1250001, 33.0, 0.0017000000000000001
m64ds_v2, 0.17222236000000002, 40.0, 0.0024
m64dms_v2, 0.25277798, 67.0, 0.0035
m128ds_v2, 0.34444472000000004, 80.0, 0.0048
m128dms_v2, 0.5277782, 150.0, 0.007500000000000001
m32ms_v2, 0.1250001, 32.0, 0.0017000000000000001
m64s_v2, 0.17222236000000002, 39.0, 0.0023
m64ms_v2, 0.25277798, 66.0, 0.0035
m128ms_v2, 0.5277782, 140.0, 0.0074
m128s_v2, 0.34444472000000004, 80.0, 0.0047
m8ms, 0.031111136000000005, 8.0, 4.7999999999999996E-4
m8-2ms, 0.031111136000000005, 8.0, 4.7999999999999996E-4
m16ms, 0.061111160000000005, 17.0, 9.7E-4
m16-4ms, 0.061111160000000005, 17.0, 9.599999999999999E-4
m32ts, 0.05277782, 10.0, 9.299999999999999E-4
m32ls, 0.058333380000000004, 12.0, 0.00102
m32ms, 0.1250001, 34.0, 0.0019
m32-16ms, 0.1250001, 34.0, 0.0019
m64ms, 0.25277798, 69.0, 0.0039
m64s, 0.17222236000000002, 42.0, 0.0028
m64m, 0.25277798, 70.0, 0.0040999999999999995
m64ls, 0.11944454000000002, 24.0, 0.002
m64-16ms, 0.24722242000000003, 68.0, 0.0039
m128ms, 0.5277782, 150.0, 0.0083
m128s, 0.34444472000000004, 80.0, 0.0056
m128m, 0.5277782, 160.0, 0.0086
m128-32ms, 0.5277782, 150.0, 0.008199999999999999
m208ms_v2, 0.8055562000000001, 210.0, 0.0106
m208s_v2, 0.5000004, 110.0, 0.0063999999999999994
m416ms_v2, 1.6111124000000001, 420.0, 0.020999999999999998
m416s_v2, 1.0277786000000002, 220.0, 0.012799999999999999
nv4as_v4, 0.0036111140000000003, 1.0, 1.2800000000000002E-4
nv8as_v4, 0.007222228000000001, 1.9, 2.6E-4
nv16as_v4, 0.014166678, 3.8, 5.1E-4
nv32as_v4, 0.027777800000000005, 7.7, 0.00102
nv12s_v3, 0.027777800000000005, 7.4, 0.00104
nv24s_v3, 0.05555560000000001, 15.0, 0.0021
nv48s_v3, 0.11111120000000002, 30.0, 0.0042
